sample-id	Soil	Nitrogen	Cover_Crop	Grapevine	Block 	CC_and_GR	N_CC_and_GR	Treatments_by_Blocks	Soil_and_Treatment	Block_Soil_Treatment	Soil_Nitrogen	Soil_CC	Soil_GR	Soil_CC_GR	Block_Soil_N	Block_Soil
4B	Bag	Nitrogen	Cover_Crop	No_Grapevine	1A	CC_NoGR	N_CC_NoGR	1A_N_CC_NoGR	Bag_N_CC_NoGR	1A_Bag_N_CC_NoGR	Bag_N	Bag_CC	Bag_NoGR	Bag_CC_NoGR	1A_Bag_N	1A_Bag
5A	Above	Nitrogen	Cover_Crop	No_Grapevine	1A	CC_NoGR	N_CC_NoGR	1A_N_CC_NoGR	Above_N_CC_NoGR	1A_Above_N_CC_NoGR	Above_N	Above_CC	Above_NoGR	Above_CC_NoGR	1A_Above_N	1A_Above
5B	Bag	Nitrogen	Cover_Crop	No_Grapevine	1A	CC_NoGR	N_CC_NoGR	1A_N_CC_NoGR	Bag_N_CC_NoGR	1A_Bag_N_CC_NoGR	Bag_N	Bag_CC	Bag_NoGR	Bag_CC_NoGR	1A_Bag_N	1A_Bag
6A	Above	Nitrogen	Cover_Crop	No_Grapevine	1A	CC_NoGR	N_CC_NoGR	1A_N_CC_NoGR	Above_N_CC_NoGR	1A_Above_N_CC_NoGR	Above_N	Above_CC	Above_NoGR	Above_CC_NoGR	1A_Above_N	1A_Above
6B	Bag	Nitrogen	Cover_Crop	No_Grapevine	1A	CC_NoGR	N_CC_NoGR	1A_N_CC_NoGR	Bag_N_CC_NoGR	1A_Bag_N_CC_NoGR	Bag_N	Bag_CC	Bag_NoGR	Bag_CC_NoGR	1A_Bag_N	1A_Bag
7A	Above	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	Above_N_NoCC_GR	1A_Above_N_NoCC_GR	Above_N	Above_NoCC	Above_GR	Above_NoCC_GR	1A_Above_N	1A_Above
7B	Bag	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	Bag_N_NoCC_GR	1A_Bag_N_NoCC_GR	Bag_N	Bag_NoCC	Bag_GR	Bag_NoCC_GR	1A_Bag_N	1A_Bag
7RS	Rhizosphere	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	RS_N_NoCC_GR	1A_RS_N_NoCC_GR	RS_N	RS_NoCC	RS_GR	RS_NoCC_GR	1A_RS_N	1A_Rhizosphere
8A	Above	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	Above_N_NoCC_GR	1A_Above_N_NoCC_GR	Above_N	Above_NoCC	Above_GR	Above_NoCC_GR	1A_Above_N	1A_Above
8B	Bag	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	Bag_N_NoCC_GR	1A_Bag_N_NoCC_GR	Bag_N	Bag_NoCC	Bag_GR	Bag_NoCC_GR	1A_Bag_N	1A_Bag
8RS	Rhizosphere	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	RS_N_NoCC_GR	1A_RS_N_NoCC_GR	RS_N	RS_NoCC	RS_GR	RS_NoCC_GR	1A_RS_N	1A_Rhizosphere
9A	Above	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	Above_N_NoCC_GR	1A_Above_N_NoCC_GR	Above_N	Above_NoCC	Above_GR	Above_NoCC_GR	1A_Above_N	1A_Above
9B	Bag	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	Bag_N_NoCC_GR	1A_Bag_N_NoCC_GR	Bag_N	Bag_NoCC	Bag_GR	Bag_NoCC_GR	1A_Bag_N	1A_Bag
9RS	Rhizosphere	Nitrogen	No_Cover_Crop	Grapevine	1A	NoCC_GR	N_NoCC_GR	1A_N_NoCC_GR	RS_N_NoCC_GR	1A_RS_N_NoCC_GR	RS_N	RS_NoCC	RS_GR	RS_NoCC_GR	1A_RS_N	1A_Rhizosphere
10A	Above	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Above_N_NoCC_NoGR	1A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1A_Above_N	1A_Above
10B	Bag	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Bag_N_NoCC_NoGR	1A_Bag_N_NoCC_NoGR	Bag_N	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	1A_Bag_N	1A_Bag
11A	Above	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Above_N_NoCC_NoGR	1A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1A_Above_N	1A_Above
11B	Bag	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Bag_N_NoCC_NoGR	1A_Bag_N_NoCC_NoGR	Bag_N	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	1A_Bag_N	1A_Bag
12A	Above	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Above_N_NoCC_NoGR	1A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1A_Above_N	1A_Above
12A_dil	Above	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Above_N_NoCC_NoGR	1A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1A_Above_N	1A_Above
12B	Bag	Nitrogen	No_Cover_Crop	No_Grapevine	1A	NoCC_NoGR	N_NoCC_NoGR	1A_N_NoCC_NoGR	Bag_N_NoCC_NoGR	1A_Bag_N_NoCC_NoGR	Bag_N	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	1A_Bag_N	1A_Bag
13A	Above	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	Above_NoN_CC_GR	1B_Above_NoN_CC_GR	Above_NoN	Above_CC	Above_GR	Above_CC_GR	1B_Above_NoN	1B_Above
13B	Bag	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	Bag_NoN_CC_GR	1B_Bag_NoN_CC_GR	Bag_NoN	Bag_CC	Bag_GR	Bag_CC_GR	1B_Bag_NoN	1B_Bag
13RS	Rhizosphere	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	RS_NoN_CC_GR	1B_RS_NoN_CC_GR	RS_NoN	RS_CC	RS_GR	RS_CC_GR	1B_RS_NoN	1B_Rhizosphere
14A	Above	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	Above_NoN_CC_GR	1B_Above_NoN_CC_GR	Above_NoN	Above_CC	Above_GR	Above_CC_GR	1B_Above_NoN	1B_Above
14B	Bag	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	Bag_NoN_CC_GR	1B_Bag_NoN_CC_GR	Bag_NoN	Bag_CC	Bag_GR	Bag_CC_GR	1B_Bag_NoN	1B_Bag
14RS	Rhizosphere	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	RS_NoN_CC_GR	1B_RS_NoN_CC_GR	RS_NoN	RS_CC	RS_GR	RS_CC_GR	1B_RS_NoN	1B_Rhizosphere
15A	Above	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	Above_NoN_CC_GR	1B_Above_NoN_CC_GR	Above_NoN	Above_CC	Above_GR	Above_CC_GR	1B_Above_NoN	1B_Above
15B	Bag	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	Bag_NoN_CC_GR	1B_Bag_NoN_CC_GR	Bag_NoN	Bag_CC	Bag_GR	Bag_CC_GR	1B_Bag_NoN	1B_Bag
15RS	Rhizosphere	No_Nitrogen	Cover_Crop	Grapevine	1B	CC_GR	NoN_CC_GR	1B_NoN_CC_GR	RS_NoN_CC_GR	1B_RS_NoN_CC_GR	RS_NoN	RS_CC	RS_GR	RS_CC_GR	1B_RS_NoN	1B_Rhizosphere
16A	Above	No_Nitrogen	Cover_Crop	No_Grapevine	1B	CC_NoGR	NoN_CC_NoGR	1B_NoN_CC_NoGR	Above_NoN_CC_NoGR	1B_Above_NoN_CC_NoGR	Above_NoN	Above_CC	Above_NoGR	Above_CC_NoGR	1B_Above_NoN	1B_Above
16B	Bag	No_Nitrogen	Cover_Crop	No_Grapevine	1B	CC_NoGR	NoN_CC_NoGR	1B_NoN_CC_NoGR	Bag_NoN_CC_NoGR	1B_Bag_NoN_CC_NoGR	Bag_NoN	Bag_CC	Bag_NoGR	Bag_CC_NoGR	1B_Bag_NoN	1B_Bag
17A	Above	No_Nitrogen	Cover_Crop	No_Grapevine	1B	CC_NoGR	NoN_CC_NoGR	1B_NoN_CC_NoGR	Above_NoN_CC_NoGR	1B_Above_NoN_CC_NoGR	Above_NoN	Above_CC	Above_NoGR	Above_CC_NoGR	1B_Above_NoN	1B_Above
17B	Bag	No_Nitrogen	Cover_Crop	No_Grapevine	1B	CC_NoGR	NoN_CC_NoGR	1B_NoN_CC_NoGR	Bag_NoN_CC_NoGR	1B_Bag_NoN_CC_NoGR	Bag_NoN	Bag_CC	Bag_NoGR	Bag_CC_NoGR	1B_Bag_NoN	1B_Bag
18A	Above	No_Nitrogen	Cover_Crop	No_Grapevine	1B	CC_NoGR	NoN_CC_NoGR	1B_NoN_CC_NoGR	Above_NoN_CC_NoGR	1B_Above_NoN_CC_NoGR	Above_NoN	Above_CC	Above_NoGR	Above_CC_NoGR	1B_Above_NoN	1B_Above
18B	Bag	No_Nitrogen	Cover_Crop	No_Grapevine	1B	CC_NoGR	NoN_CC_NoGR	1B_NoN_CC_NoGR	Bag_NoN_CC_NoGR	1B_Bag_NoN_CC_NoGR	Bag_NoN	Bag_CC	Bag_NoGR	Bag_CC_NoGR	1B_Bag_NoN	1B_Bag
19A	Above	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	Above_NoN_NoCC_GR	1B_Above_NoN_NoCC_GR	Above_NoN	Above_NoCC	Above_GR	Above_NoCC_GR	1B_Above_NoN	1B_Above
19B	Bag	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	Bag_NoN_NoCC_GR	1B_Bag_NoN_NoCC_GR	Bag_NoN	Bag_NoCC	Bag_GR	Bag_NoCC_GR	1B_Bag_NoN	1B_Bag
19RS	Rhizosphere	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	RS_NoN_NoCC_GR	1B_RS_NoN_NoCC_GR	RS_NoN	RS_NoCC	RS_GR	RS_NoCC_GR	1B_RS_NoN	1B_Rhizosphere
20A	Above	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	Above_NoN_NoCC_GR	1B_Above_NoN_NoCC_GR	Above_NoN	Above_NoCC	Above_GR	Above_NoCC_GR	1B_Above_NoN	1B_Above
20B	Bag	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	Bag_NoN_NoCC_GR	1B_Bag_NoN_NoCC_GR	Bag_NoN	Bag_NoCC	Bag_GR	Bag_NoCC_GR	1B_Bag_NoN	1B_Bag
20RS	Rhizosphere	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	RS_NoN_NoCC_GR	1B_RS_NoN_NoCC_GR	RS_NoN	RS_NoCC	RS_GR	RS_NoCC_GR	1B_RS_NoN	1B_Rhizosphere
21A	Above	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	Above_NoN_NoCC_GR	1B_Above_NoN_NoCC_GR	Above_NoN	Above_NoCC	Above_GR	Above_NoCC_GR	1B_Above_NoN	1B_Above
21B	Bag	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	Bag_NoN_NoCC_GR	1B_Bag_NoN_NoCC_GR	Bag_NoN	Bag_NoCC	Bag_GR	Bag_NoCC_GR	1B_Bag_NoN	1B_Bag
21RS	Rhizosphere	No_Nitrogen	No_Cover_Crop	Grapevine	1B	NoCC_GR	NoN_NoCC_GR	1B_NoN_NoCC_GR	RS_NoN_NoCC_GR	1B_RS_NoN_NoCC_GR	RS_NoN	RS_NoCC	RS_GR	RS_NoCC_GR	1B_RS_NoN	1B_Rhizosphere
22A	Above	No_Nitrogen	No_Cover_Crop	No_Grapevine	1B	NoCC_NoGR	NoN_NoCC_NoGR	1B_NoN_NoCC_NoGR	Above_NoN_NoCC_NoGR	1B_Above_NoN_NoCC_NoGR	Above_NoN	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1B_Above_NoN	1B_Above
22B	Bag	No_Nitrogen	No_Cover_Crop	No_Grapevine	1B	NoCC_NoGR	NoN_NoCC_NoGR	1B_NoN_NoCC_NoGR	Bag_NoN_NoCC_NoGR	1B_Bag_NoN_NoCC_NoGR	Bag_NoN	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	1B_Bag_NoN	1B_Bag
23A	Above	No_Nitrogen	No_Cover_Crop	No_Grapevine	1B	NoCC_NoGR	NoN_NoCC_NoGR	1B_NoN_NoCC_NoGR	Above_NoN_NoCC_NoGR	1B_Above_NoN_NoCC_NoGR	Above_NoN	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1B_Above_NoN	1B_Above
23B	Bag	No_Nitrogen	No_Cover_Crop	No_Grapevine	1B	NoCC_NoGR	NoN_NoCC_NoGR	1B_NoN_NoCC_NoGR	Bag_NoN_NoCC_NoGR	1B_Bag_NoN_NoCC_NoGR	Bag_NoN	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	1B_Bag_NoN	1B_Bag
24A	Above	No_Nitrogen	No_Cover_Crop	No_Grapevine	1B	NoCC_NoGR	NoN_NoCC_NoGR	1B_NoN_NoCC_NoGR	Above_NoN_NoCC_NoGR	1B_Above_NoN_NoCC_NoGR	Above_NoN	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	1B_Above_NoN	1B_Above
24B	Bag	No_Nitrogen	No_Cover_Crop	No_Grapevine	1B	NoCC_NoGR	NoN_NoCC_NoGR	1B_NoN_NoCC_NoGR	Bag_NoN_NoCC_NoGR	1B_Bag_NoN_NoCC_NoGR	Bag_NoN	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	1B_Bag_NoN	1B_Bag
25A	Above	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	Above_N_CC_GR	2A_Above_N_CC_GR	Above_N	Above_CC	Above_GR	Above_CC_GR	2A_Above_N	2A_Above
25B	Bag	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	Bag_N_CC_GR	2A_Bag_N_CC_GR	Bag_N	Bag_CC	Bag_GR	Bag_CC_GR	2A_Bag_N	2A_Bag
25RS	Rhizosphere	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	RS_N_CC_GR	2A_RS_N_CC_GR	RS_N	RS_CC	RS_GR	RS_CC_GR	2A_RS_N	2A_Rhizosphere
26A	Above	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	Above_N_CC_GR	2A_Above_N_CC_GR	Above_N	Above_CC	Above_GR	Above_CC_GR	2A_Above_N	2A_Above
26B	Bag	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	Bag_N_CC_GR	2A_Bag_N_CC_GR	Bag_N	Bag_CC	Bag_GR	Bag_CC_GR	2A_Bag_N	2A_Bag
26RS	Rhizosphere	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	RS_N_CC_GR	2A_RS_N_CC_GR	RS_N	RS_CC	RS_GR	RS_CC_GR	2A_RS_N	2A_Rhizosphere
27A	Above	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	Above_N_CC_GR	2A_Above_N_CC_GR	Above_N	Above_CC	Above_GR	Above_CC_GR	2A_Above_N	2A_Above
27B	Bag	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	Bag_N_CC_GR	2A_Bag_N_CC_GR	Bag_N	Bag_CC	Bag_GR	Bag_CC_GR	2A_Bag_N	2A_Bag
27RS	Rhizosphere	Nitrogen	Cover_Crop	Grapevine	2A	CC_GR	N_CC_GR	2A_N_CC_GR	RS_N_CC_GR	2A_RS_N_CC_GR	RS_N	RS_CC	RS_GR	RS_CC_GR	2A_RS_N	2A_Rhizosphere
28A	Above	Nitrogen	Cover_Crop	No_Grapevine	2A	CC_NoGR	N_CC_NoGR	2A_N_CC_NoGR	Above_N_CC_NoGR	2A_Above_N_CC_NoGR	Above_N	Above_CC	Above_NoGR	Above_CC_NoGR	2A_Above_N	2A_Above
28B	Bag	Nitrogen	Cover_Crop	No_Grapevine	2A	CC_NoGR	N_CC_NoGR	2A_N_CC_NoGR	Bag_N_CC_NoGR	2A_Bag_N_CC_NoGR	Bag_N	Bag_CC	Bag_NoGR	Bag_CC_NoGR	2A_Bag_N	2A_Bag
29A	Above	Nitrogen	Cover_Crop	No_Grapevine	2A	CC_NoGR	N_CC_NoGR	2A_N_CC_NoGR	Above_N_CC_NoGR	2A_Above_N_CC_NoGR	Above_N	Above_CC	Above_NoGR	Above_CC_NoGR	2A_Above_N	2A_Above
29B	Bag	Nitrogen	Cover_Crop	No_Grapevine	2A	CC_NoGR	N_CC_NoGR	2A_N_CC_NoGR	Bag_N_CC_NoGR	2A_Bag_N_CC_NoGR	Bag_N	Bag_CC	Bag_NoGR	Bag_CC_NoGR	2A_Bag_N	2A_Bag
30A	Above	Nitrogen	Cover_Crop	No_Grapevine	2A	CC_NoGR	N_CC_NoGR	2A_N_CC_NoGR	Above_N_CC_NoGR	2A_Above_N_CC_NoGR	Above_N	Above_CC	Above_NoGR	Above_CC_NoGR	2A_Above_N	2A_Above
30B	Bag	Nitrogen	Cover_Crop	No_Grapevine	2A	CC_NoGR	N_CC_NoGR	2A_N_CC_NoGR	Bag_N_CC_NoGR	2A_Bag_N_CC_NoGR	Bag_N	Bag_CC	Bag_NoGR	Bag_CC_NoGR	2A_Bag_N	2A_Bag
31A	Above	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	Above_N_NoCC_GR	2A_Above_N_NoCC_GR	Above_N	Above_NoCC	Above_GR	Above_NoCC_GR	2A_Above_N	2A_Above
31B	Bag	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	Bag_N_NoCC_GR	2A_Bag_N_NoCC_GR	Bag_N	Bag_NoCC	Bag_GR	Bag_NoCC_GR	2A_Bag_N	2A_Bag
31RS	Rhizosphere	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	RS_N_NoCC_GR	2A_RS_N_NoCC_GR	RS_N	RS_NoCC	RS_GR	RS_NoCC_GR	2A_RS_N	2A_Rhizosphere
32A	Above	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	Above_N_NoCC_GR	2A_Above_N_NoCC_GR	Above_N	Above_NoCC	Above_GR	Above_NoCC_GR	2A_Above_N	2A_Above
32B	Bag	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	Bag_N_NoCC_GR	2A_Bag_N_NoCC_GR	Bag_N	Bag_NoCC	Bag_GR	Bag_NoCC_GR	2A_Bag_N	2A_Bag
32RS	Rhizosphere	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	RS_N_NoCC_GR	2A_RS_N_NoCC_GR	RS_N	RS_NoCC	RS_GR	RS_NoCC_GR	2A_RS_N	2A_Rhizosphere
33A	Above	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	Above_N_NoCC_GR	2A_Above_N_NoCC_GR	Above_N	Above_NoCC	Above_GR	Above_NoCC_GR	2A_Above_N	2A_Above
33B	Bag	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	Bag_N_NoCC_GR	2A_Bag_N_NoCC_GR	Bag_N	Bag_NoCC	Bag_GR	Bag_NoCC_GR	2A_Bag_N	2A_Bag
33RS	Rhizosphere	Nitrogen	No_Cover_Crop	Grapevine	2A	NoCC_GR	N_NoCC_GR	2A_N_NoCC_GR	RS_N_NoCC_GR	2A_RS_N_NoCC_GR	RS_N	RS_NoCC	RS_GR	RS_NoCC_GR	2A_RS_N	2A_Rhizosphere
34A	Above	Nitrogen	No_Cover_Crop	No_Grapevine	2A	NoCC_NoGR	N_NoCC_NoGR	2A_N_NoCC_NoGR	Above_N_NoCC_NoGR	2A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	2A_Above_N	2A_Above
34B	Bag	Nitrogen	No_Cover_Crop	No_Grapevine	2A	NoCC_NoGR	N_NoCC_NoGR	2A_N_NoCC_NoGR	Bag_N_NoCC_NoGR	2A_Bag_N_NoCC_NoGR	Bag_N	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	2A_Bag_N	2A_Bag
35A	Above	Nitrogen	No_Cover_Crop	No_Grapevine	2A	NoCC_NoGR	N_NoCC_NoGR	2A_N_NoCC_NoGR	Above_N_NoCC_NoGR	2A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	2A_Above_N	2A_Above
35B	Bag	Nitrogen	No_Cover_Crop	No_Grapevine	2A	NoCC_NoGR	N_NoCC_NoGR	2A_N_NoCC_NoGR	Bag_N_NoCC_NoGR	2A_Bag_N_NoCC_NoGR	Bag_N	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	2A_Bag_N	2A_Bag
36A	Above	Nitrogen	No_Cover_Crop	No_Grapevine	2A	NoCC_NoGR	N_NoCC_NoGR	2A_N_NoCC_NoGR	Above_N_NoCC_NoGR	2A_Above_N_NoCC_NoGR	Above_N	Above_NoCC	Above_NoGR	Above_NoCC_NoGR	2A_Above_N	2A_Above
36B	Bag	Nitrogen	No_Cover_Crop	No_Grapevine	2A	NoCC_NoGR	N_NoCC_NoGR	2A_N_NoCC_NoGR	Bag_N_NoCC_NoGR	2A_Bag_N_NoCC_NoGR	Bag_N	Bag_NoCC	Bag_NoGR	Bag_NoCC_NoGR	2A_Bag_N	2A_Bag
37A	Above	No_Nitrogen	Cover_Crop	Grapevine	2B	CC_GR	NoN_CC_GR	2B_NoN_CC_GR	Above_NoN_CC_GR	2B_Above_NoN_CC_GR	Above_NoN	Above_CC	Above_GR	Above_CC_GR	2B_Above_NoN	2B_Above
37B	Bag	No_Nitrogen	Cover_Crop	Grapevine	2B	CC_GR	NoN_CC_GR	2B_NoN_CC_GR	Bag_NoN_CC_GR	2B_Bag_NoN_CC_GR	Bag_NoN	Bag_CC	Bag_GR	Bag_CC_GR	2B_Bag_NoN	2B_Bag
37RS	Rhizosphere	No_Nitrogen	Cover_Crop	Grapevine	2B	CC_GR	NoN_CC_GR	2B_NoN_CC_GR	RS_NoN_CC_GR	2B_RS_NoN_CC_GR	RS_NoN	RS_CC	RS_GR	RS_CC_GR	2B_RS_NoN	2B_Rhizosphere
